Total Time = 3998 
Epoch Duration (0) - 45 
Epoch Duration (1) - 37 
Epoch Duration (2) - 40 
Epoch Duration (3) - 34 
Epoch Duration (4) - 37 
Epoch Duration (5) - 37 
Epoch Duration (6) - 33 
Epoch Duration (7) - 33 
Epoch Duration (8) - 33 
Epoch Duration (9) - 33 
Epoch Duration (10) - 41 
Epoch Duration (11) - 41 
Epoch Duration (12) - 42 
Epoch Duration (13) - 40 
Epoch Duration (14) - 40 
Epoch Duration (15) - 41 
Epoch Duration (16) - 40 
Epoch Duration (17) - 40 
Epoch Duration (18) - 40 
Epoch Duration (19) - 41 
Epoch Duration (20) - 40 
Epoch Duration (21) - 38 
Epoch Duration (22) - 38 
Epoch Duration (23) - 38 
Epoch Duration (24) - 36 
Epoch Duration (25) - 35 
Epoch Duration (26) - 37 
Epoch Duration (27) - 35 
Epoch Duration (28) - 38 
Epoch Duration (29) - 35 
Epoch Duration (30) - 36 
Epoch Duration (31) - 41 
Epoch Duration (32) - 40 
Epoch Duration (33) - 41 
Epoch Duration (34) - 41 
Epoch Duration (35) - 41 
Epoch Duration (36) - 41 
Epoch Duration (37) - 41 
Epoch Duration (38) - 41 
Epoch Duration (39) - 41 
Epoch Duration (40) - 41 
Epoch Duration (41) - 40 
Epoch Duration (42) - 39 
Epoch Duration (43) - 33 
Epoch Duration (44) - 40 
Epoch Duration (45) - 34 
Epoch Duration (46) - 35 
Epoch Duration (47) - 42 
Epoch Duration (48) - 43 
Epoch Duration (49) - 40 
Epoch Duration (50) - 42 
Epoch Duration (51) - 42 
Epoch Duration (52) - 41 
Epoch Duration (53) - 42 
Epoch Duration (54) - 43 
Epoch Duration (55) - 43 
Epoch Duration (56) - 42 
Epoch Duration (57) - 40 
Epoch Duration (58) - 41 
Epoch Duration (59) - 32 
Epoch Duration (60) - 34 
Epoch Duration (61) - 40 
Epoch Duration (62) - 40 
Epoch Duration (63) - 40 
Epoch Duration (64) - 39 
Epoch Duration (65) - 34 
Epoch Duration (66) - 40 
Epoch Duration (67) - 39 
Epoch Duration (68) - 40 
Epoch Duration (69) - 38 
Epoch Duration (70) - 42 
Epoch Duration (71) - 41 
Epoch Duration (72) - 43 
Epoch Duration (73) - 42 
Epoch Duration (74) - 43 
Epoch Duration (75) - 41 
Epoch Duration (76) - 35 
Epoch Duration (77) - 39 
Epoch Duration (78) - 42 
Epoch Duration (79) - 40 
Epoch Duration (80) - 41 
Epoch Duration (81) - 40 
Epoch Duration (82) - 35 
Epoch Duration (83) - 40 
Epoch Duration (84) - 41 
Epoch Duration (85) - 43 
Epoch Duration (86) - 42 
Epoch Duration (87) - 42 
Epoch Duration (88) - 43 
Epoch Duration (89) - 42 
Epoch Duration (90) - 42 
Epoch Duration (91) - 43 
Epoch Duration (92) - 43 
Epoch Duration (93) - 42 
Epoch Duration (94) - 35 
Epoch Duration (95) - 41 
Epoch Duration (96) - 40 
Epoch Duration (97) - 41 
Epoch Duration (98) - 40 
Epoch Duration (99) - 40 
