time, loss, val_loss, acc, val_acc
62, 2.403554, 3.536255, 0.341033, 0.422460,
59, 1.647872, 2.989626, 0.387955, 0.390374,
62, 1.408240, 1.938306, 0.397759, 0.470588,
62, 1.352577, 2.142663, 0.429972, 0.508021,
63, 1.354720, 1.693950, 0.436975, 0.486631,
60, 1.297122, 2.333450, 0.460784, 0.443850,
65, 1.358054, 2.269218, 0.462185, 0.449198,
62, 1.351946, 1.696153, 0.455182, 0.465241,
61, 1.225028, 2.486334, 0.473389, 0.395722,
63, 1.193153, 2.079622, 0.518207, 0.486631,
63, 1.207269, 1.875772, 0.516807, 0.513369,
62, 1.105741, 1.566474, 0.549020, 0.470588,
64, 1.046847, 1.190645, 0.568627, 0.566845,
64, 0.939644, 1.664600, 0.616246, 0.486631,
63, 1.016320, 2.272818, 0.593838, 0.401070,
64, 0.934569, 1.709010, 0.598039, 0.454545,
67, 0.983029, 0.940885, 0.586835, 0.593583,
64, 0.939230, 1.104790, 0.609244, 0.593583,
65, 0.874524, 1.320581, 0.617647, 0.556150,
64, 0.806925, 1.385384, 0.696078, 0.475936,
65, 0.878832, 1.070101, 0.624650, 0.566845,
64, 0.871346, 1.157544, 0.659664, 0.604278,
67, 0.802914, 1.510714, 0.682073, 0.481283,
65, 0.875500, 1.282025, 0.665266, 0.491979,
69, 0.833963, 1.190051, 0.684783, 0.561497,
65, 0.780762, 1.687885, 0.705882, 0.475936,
68, 0.764234, 1.053236, 0.693277, 0.518717,
65, 0.705608, 1.268794, 0.728291, 0.582888,
68, 0.743580, 1.242155, 0.701681, 0.593583,
64, 0.764975, 1.603602, 0.704482, 0.534759,
70, 0.899585, 1.210574, 0.658263, 0.497326,
68, 0.892299, 1.801745, 0.644258, 0.508021,
66, 0.753354, 1.096181, 0.677871, 0.689840,
63, 0.729942, 1.231387, 0.707283, 0.577540,
65, 0.708530, 1.308938, 0.715686, 0.513369,
71, 0.685621, 1.188378, 0.728291, 0.604278,
66, 0.663066, 1.085140, 0.733894, 0.604278,
71, 0.713885, 1.021552, 0.729692, 0.647059,
67, 0.664433, 1.000770, 0.733894, 0.604278,
69, 0.595739, 0.995261, 0.753501, 0.657754,
66, 0.559097, 1.218649, 0.771709, 0.604278,
68, 0.587594, 1.621597, 0.757703, 0.556150,
66, 0.593866, 0.885275, 0.771709, 0.695187,
66, 0.550515, 0.892690, 0.777311, 0.700535,
66, 0.549770, 0.998402, 0.777311, 0.636364,
66, 0.492555, 0.703305, 0.810924, 0.716578,
66, 0.483580, 1.816394, 0.792717, 0.491979,
67, 0.655761, 2.860286, 0.729692, 0.406417,
69, 0.677234, 1.507910, 0.739130, 0.625668,
63, 0.608257, 1.728710, 0.746499, 0.550802,
67, 0.580116, 1.142485, 0.773109, 0.673797,
66, 0.500703, 0.708642, 0.810924, 0.700535,
68, 0.548872, 2.034489, 0.782913, 0.518717,
65, 0.481095, 1.384716, 0.791317, 0.588235,
65, 0.530922, 1.010274, 0.810924, 0.636364,
65, 0.448381, 1.418570, 0.822129, 0.577540,
66, 0.419841, 0.785999, 0.836134, 0.716578,
66, 0.404489, 0.754416, 0.843137, 0.737968,
67, 0.408971, 1.208454, 0.827731, 0.620321,
67, 0.404652, 0.691665, 0.845938, 0.711230,
67, 0.446239, 1.226262, 0.831933, 0.641711,
65, 0.461206, 1.719124, 0.836134, 0.588235,
67, 0.395650, 1.021495, 0.838936, 0.668449,
66, 0.403729, 0.638339, 0.827731, 0.780749,
67, 0.406790, 1.244573, 0.850140, 0.609626,
66, 0.419840, 0.657566, 0.819328, 0.700535,
64, 0.474594, 0.735682, 0.816527, 0.737968,
66, 0.360133, 0.700947, 0.862745, 0.727273,
67, 0.337645, 0.902312, 0.873950, 0.716578,
66, 0.273115, 0.559786, 0.885154, 0.786096,
65, 0.307171, 0.874731, 0.887955, 0.663102,
66, 0.360670, 1.013530, 0.865546, 0.652406,
69, 0.318461, 0.595761, 0.883152, 0.764706,
64, 0.357105, 1.228801, 0.866947, 0.647059,
65, 0.250873, 0.820185, 0.901961, 0.673797,
66, 0.247366, 0.767836, 0.897759, 0.748663,
65, 0.209295, 0.806710, 0.924370, 0.754011,
67, 0.302543, 0.626942, 0.885154, 0.796791,
69, 0.287032, 0.647666, 0.892157, 0.764706,
69, 0.267097, 1.238779, 0.894958, 0.641711,
63, 0.283295, 0.786379, 0.878151, 0.732620,
66, 0.245232, 0.726328, 0.908964, 0.775401,
69, 0.306004, 1.310359, 0.880952, 0.631016,
66, 0.533489, 5.045652, 0.796919, 0.406417,
68, 0.600965, 1.568861, 0.759104, 0.577540,
68, 0.471453, 1.559479, 0.805322, 0.604278,
69, 0.381497, 1.279334, 0.858543, 0.657754,
67, 0.333137, 1.041051, 0.875350, 0.721925,
68, 0.297765, 0.611847, 0.882353, 0.791444,
64, 0.323352, 1.070584, 0.873950, 0.689840,
67, 0.300198, 1.169059, 0.889356, 0.679144,
68, 0.303981, 0.904721, 0.887955, 0.689840,
69, 0.261448, 1.150300, 0.904762, 0.631016,
69, 0.334268, 1.161903, 0.872549, 0.636364,
67, 0.345453, 1.074594, 0.868347, 0.657754,
67, 0.480314, 1.117501, 0.826331, 0.695187,
69, 0.373573, 0.760234, 0.862772, 0.721925,
66, 0.267127, 1.083293, 0.892157, 0.684492,
64, 0.299417, 0.825081, 0.882353, 0.727273,
67, 0.260206, 1.106607, 0.907563, 0.673797,
