time, loss, val_loss, acc, val_acc
34, 2.184413, 2.483504, 0.362772, 0.449198,
31, 1.738859, 4.483412, 0.401961, 0.352941,
32, 1.551140, 3.486951, 0.425770, 0.352941,
32, 1.382005, 1.919973, 0.456583, 0.438503,
33, 1.292625, 1.813451, 0.460784, 0.417112,
33, 1.239703, 1.182801, 0.526611, 0.486631,
34, 1.301174, 1.472530, 0.490196, 0.459893,
32, 1.202665, 1.364189, 0.518207, 0.449198,
36, 1.117935, 1.269477, 0.512605, 0.481283,
34, 1.139176, 1.033393, 0.516807, 0.550802,
35, 1.115343, 1.194467, 0.530812, 0.529412,
35, 1.221994, 1.278546, 0.495798, 0.491979,
33, 1.039339, 1.239039, 0.565826, 0.454545,
32, 1.044226, 1.005038, 0.544818, 0.577540,
35, 1.018534, 1.996860, 0.572829, 0.422460,
33, 0.961422, 1.163708, 0.607843, 0.524064,
34, 0.934444, 0.839455, 0.616246, 0.631016,
36, 0.835084, 1.187406, 0.648459, 0.566845,
34, 0.907836, 0.961596, 0.606443, 0.609626,
33, 0.873357, 1.603763, 0.645658, 0.454545,
33, 0.787363, 2.120409, 0.659664, 0.395722,
33, 0.840402, 0.954493, 0.647059, 0.625668,
35, 0.756816, 1.334007, 0.696078, 0.534759,
34, 0.789810, 0.959033, 0.675070, 0.572193,
34, 0.799247, 1.014232, 0.660326, 0.604278,
35, 0.824460, 1.547962, 0.654062, 0.508021,
35, 0.798549, 0.846091, 0.662465, 0.631016,
33, 0.666320, 1.080020, 0.721289, 0.604278,
34, 0.704225, 1.025516, 0.721289, 0.588235,
36, 0.767264, 1.183829, 0.687675, 0.614973,
32, 0.757168, 0.947593, 0.677871, 0.593583,
36, 0.696178, 1.902256, 0.698880, 0.449198,
33, 0.640218, 1.142286, 0.725490, 0.604278,
34, 0.667189, 2.129860, 0.715686, 0.481283,
35, 0.613268, 1.499332, 0.750700, 0.534759,
34, 0.897779, 1.669107, 0.656863, 0.454545,
34, 0.914933, 1.373173, 0.586835, 0.513369,
34, 0.793534, 0.830692, 0.642857, 0.684492,
33, 0.696645, 1.489712, 0.718487, 0.481283,
36, 0.650233, 1.601162, 0.729692, 0.508021,
35, 0.683472, 2.377228, 0.719888, 0.422460,
35, 0.585692, 3.216007, 0.749300, 0.390374,
34, 0.664311, 1.300434, 0.731092, 0.598930,
34, 0.569212, 2.481444, 0.768908, 0.459893,
35, 0.640059, 1.778047, 0.735294, 0.443850,
36, 0.542674, 1.070078, 0.774510, 0.652406,
35, 0.540900, 0.707474, 0.792717, 0.727273,
33, 0.544375, 1.219901, 0.774510, 0.609626,
36, 0.562600, 2.068179, 0.764946, 0.438503,
35, 0.469738, 1.608823, 0.801120, 0.566845,
32, 0.500660, 1.710299, 0.791317, 0.582888,
35, 0.479146, 0.933777, 0.801120, 0.641711,
34, 0.499215, 1.149302, 0.792717, 0.598930,
35, 0.445321, 1.045013, 0.826331, 0.641711,
35, 0.528258, 1.111720, 0.792717, 0.647059,
36, 0.494138, 1.125837, 0.810924, 0.593583,
33, 0.500176, 1.843614, 0.796919, 0.497326,
35, 0.444166, 1.454629, 0.816527, 0.524064,
35, 0.418881, 1.311525, 0.834734, 0.604278,
35, 0.411858, 1.191758, 0.836134, 0.668449,
35, 0.408727, 0.879615, 0.833333, 0.748663,
35, 0.414686, 1.440662, 0.826331, 0.577540,
36, 0.411957, 0.786866, 0.837535, 0.732620,
35, 0.490858, 0.957350, 0.799720, 0.711230,
34, 0.437622, 0.750735, 0.826331, 0.759358,
37, 0.411179, 1.691602, 0.831933, 0.604278,
33, 0.394785, 1.309815, 0.847339, 0.614973,
36, 0.368908, 3.406802, 0.845938, 0.390374,
35, 0.358885, 2.711704, 0.851541, 0.449198,
33, 0.390551, 1.502749, 0.851541, 0.625668,
36, 0.366787, 1.884767, 0.848739, 0.577540,
35, 0.399095, 1.519869, 0.848739, 0.620321,
39, 0.329478, 1.528192, 0.884511, 0.588235,
39, 0.354008, 1.459033, 0.847339, 0.620321,
43, 0.386048, 0.959505, 0.861345, 0.663102,
35, 0.314695, 2.769372, 0.868347, 0.497326,
34, 0.408943, 1.561996, 0.851541, 0.550802,
36, 0.498379, 2.369078, 0.808123, 0.486631,
35, 0.403963, 1.587119, 0.837535, 0.566845,
36, 0.375110, 1.205110, 0.865546, 0.609626,
36, 0.301631, 0.809557, 0.889356, 0.689840,
39, 0.306149, 0.842846, 0.887955, 0.732620,
43, 0.314111, 1.858435, 0.871148, 0.614973,
39, 0.322159, 0.969108, 0.886555, 0.700535,
34, 0.395002, 2.037306, 0.838936, 0.508021,
33, 0.480407, 0.767827, 0.816527, 0.727273,
35, 0.374353, 1.321376, 0.838936, 0.614973,
36, 0.374917, 0.613001, 0.855742, 0.791444,
36, 0.420238, 0.875472, 0.841737, 0.754011,
33, 0.458286, 0.677447, 0.819328, 0.754011,
35, 0.414959, 0.626538, 0.823529, 0.770053,
32, 0.443192, 3.126669, 0.823529, 0.443850,
33, 0.544730, 1.766292, 0.781513, 0.529412,
35, 0.544318, 0.725380, 0.795518, 0.727273,
36, 0.423379, 1.227608, 0.834734, 0.631016,
33, 0.435475, 1.569908, 0.831933, 0.620321,
36, 0.383010, 0.805502, 0.841033, 0.700535,
38, 0.448374, 2.902522, 0.824930, 0.427807,
39, 0.542585, 1.401054, 0.781513, 0.593583,
36, 0.450243, 3.224643, 0.820728, 0.566845,
