time, loss, val_loss, acc, val_acc
58, 2.039435, 3.192513, 0.407853, 0.408228,
55, 1.622021, 1.269342, 0.410423, 0.509494,
55, 1.421493, 1.669791, 0.452769, 0.408228,
56, 1.237877, 1.267698, 0.486971, 0.452532,
55, 1.092920, 1.032253, 0.530945, 0.588608,
55, 1.063962, 1.432318, 0.550489, 0.503165,
55, 1.085916, 1.646507, 0.543160, 0.487342,
56, 1.094256, 1.780200, 0.548046, 0.515823,
61, 0.980790, 1.318256, 0.579805, 0.572785,
63, 0.939739, 0.969920, 0.614821, 0.655063,
55, 0.939199, 0.818844, 0.609121, 0.677215,
58, 0.847568, 1.124733, 0.644951, 0.537975,
56, 0.853806, 1.278414, 0.640879, 0.585443,
55, 0.870988, 1.660438, 0.637622, 0.534810,
55, 0.851666, 1.318409, 0.640065, 0.534810,
59, 0.852655, 0.801682, 0.661238, 0.705696,
56, 0.829336, 1.023848, 0.653909, 0.642405,
58, 0.748333, 0.781777, 0.703583, 0.696203,
55, 0.613317, 0.653862, 0.748371, 0.737342,
62, 0.650867, 0.658598, 0.727199, 0.737342,
57, 0.682896, 0.960590, 0.724756, 0.623418,
58, 0.653490, 1.053193, 0.745114, 0.664557,
57, 0.555439, 0.806071, 0.771987, 0.750000,
62, 0.601543, 0.950246, 0.757329, 0.696203,
58, 0.609071, 1.121553, 0.751629, 0.639241,
58, 0.596248, 0.703136, 0.767915, 0.743671,
58, 0.566969, 1.061314, 0.776059, 0.648734,
59, 0.511546, 2.094577, 0.806189, 0.443038,
56, 0.522787, 1.011304, 0.787459, 0.696203,
57, 0.502624, 0.912956, 0.806189, 0.680380,
60, 0.532580, 0.838328, 0.771987, 0.740506,
55, 0.488979, 1.368242, 0.799674, 0.664557,
57, 0.486625, 0.923437, 0.811075, 0.693038,
63, 0.505021, 1.095502, 0.811075, 0.642405,
56, 0.512269, 1.691084, 0.802117, 0.512658,
63, 0.480238, 0.518762, 0.804560, 0.825949,
57, 0.438490, 1.176238, 0.833876, 0.712025,
56, 0.517094, 1.140241, 0.794788, 0.626582,
63, 0.497024, 0.781647, 0.809446, 0.734177,
56, 0.404842, 1.235991, 0.833876, 0.727848,
59, 0.410803, 0.640196, 0.846955, 0.787975,
57, 0.406034, 1.168563, 0.839577, 0.683544,
56, 0.393784, 0.761294, 0.846906, 0.743671,
57, 0.354429, 0.501671, 0.859121, 0.800633,
58, 0.406353, 0.640365, 0.842020, 0.753165,
59, 0.373115, 0.634674, 0.855863, 0.743671,
58, 0.335388, 1.706536, 0.869707, 0.642405,
57, 0.371946, 1.366803, 0.847720, 0.604430,
60, 0.379973, 0.355116, 0.858306, 0.879747,
59, 0.370767, 0.550062, 0.855049, 0.813291,
56, 0.385340, 1.065065, 0.849349, 0.746835,
59, 0.321730, 0.674573, 0.884365, 0.778481,
56, 0.352675, 1.782408, 0.868893, 0.556962,
55, 0.310771, 0.452544, 0.876221, 0.857595,
59, 0.348670, 0.751239, 0.863192, 0.756329,
58, 0.345354, 0.615121, 0.855049, 0.797468,
63, 0.304857, 0.511824, 0.883550, 0.851266,
56, 0.317967, 0.457619, 0.872964, 0.851266,
57, 0.274937, 0.482244, 0.892508, 0.832278,
58, 0.302651, 0.611592, 0.878664, 0.765823,
58, 0.335018, 0.907470, 0.876221, 0.715190,
58, 0.405379, 1.095786, 0.848534, 0.639241,
58, 0.366635, 0.991899, 0.860749, 0.661392,
58, 0.376745, 0.680930, 0.841205, 0.784810,
59, 0.288738, 1.648271, 0.887622, 0.645570,
61, 0.269182, 1.155055, 0.893322, 0.756329,
61, 0.311315, 1.059476, 0.880293, 0.740506,
55, 0.274357, 0.463057, 0.894137, 0.829114,
58, 0.328800, 0.688181, 0.872964, 0.768987,
59, 0.296989, 0.297415, 0.885179, 0.889241,
61, 0.283054, 0.521918, 0.889251, 0.825949,
55, 0.263296, 0.388580, 0.890879, 0.860759,
58, 0.279592, 0.315066, 0.884365, 0.886076,
60, 0.249654, 1.589228, 0.905537, 0.715190,
58, 0.287340, 0.528137, 0.887622, 0.835443,
63, 0.256286, 0.418439, 0.902280, 0.835443,
60, 0.252271, 0.571323, 0.907980, 0.832278,
58, 0.260075, 0.367622, 0.902280, 0.873418,
55, 0.217091, 0.941836, 0.914495, 0.705696,
64, 0.247185, 0.424689, 0.916938, 0.870253,
56, 0.243025, 0.751912, 0.902244, 0.800633,
73, 0.238875, 0.552926, 0.909609, 0.841772,
62, 0.251362, 1.222401, 0.895765, 0.718354,
63, 0.221445, 0.581458, 0.912052, 0.832278,
63, 0.244220, 1.682518, 0.899837, 0.651899,
60, 0.217106, 0.310355, 0.916124, 0.882911,
62, 0.213164, 0.421972, 0.921824, 0.876582,
61, 0.249724, 0.884581, 0.899837, 0.753165,
60, 0.224902, 1.224165, 0.916124, 0.727848,
62, 0.208360, 0.383763, 0.916938, 0.882911,
61, 0.194187, 1.158818, 0.917752, 0.731013,
59, 0.182337, 0.468469, 0.937296, 0.860759,
61, 0.208092, 0.354405, 0.917752, 0.889241,
57, 0.203877, 0.368319, 0.925896, 0.886076,
57, 0.190884, 0.877234, 0.929967, 0.765823,
56, 0.188547, 0.537279, 0.929153, 0.860759,
56, 0.175898, 0.647996, 0.930782, 0.848101,
58, 0.194275, 0.487220, 0.932410, 0.844937,
56, 0.190702, 0.340188, 0.923453, 0.886076,
56, 0.214960, 0.948384, 0.910423, 0.775316,
