time, loss, val_loss, acc, val_acc
55, 1.890319, 3.334264, 0.357337, 0.395722,
39, 1.274666, 1.654506, 0.421569, 0.433155,
36, 1.247727, 1.495530, 0.453782, 0.454545,
33, 1.103587, 1.050809, 0.492997, 0.534759,
33, 1.145348, 1.556603, 0.518207, 0.491979,
33, 1.070242, 0.976193, 0.540616, 0.614973,
36, 1.027757, 0.851798, 0.565826, 0.668449,
39, 1.032430, 1.151481, 0.582633, 0.550802,
39, 0.924535, 1.643878, 0.616246, 0.449198,
39, 0.961290, 1.870881, 0.588235, 0.401070,
40, 0.900653, 1.219180, 0.620448, 0.556150,
39, 0.876118, 1.453949, 0.612045, 0.556150,
40, 0.809945, 1.691657, 0.662465, 0.497326,
34, 0.798916, 1.734564, 0.642857, 0.513369,
40, 0.699074, 0.884472, 0.712885, 0.647059,
40, 0.716693, 0.754972, 0.693277, 0.695187,
40, 0.719413, 0.847111, 0.717087, 0.609626,
38, 0.673252, 0.731128, 0.722689, 0.668449,
36, 0.649540, 1.029518, 0.742297, 0.620321,
43, 0.605861, 0.939693, 0.759104, 0.577540,
40, 0.604859, 0.661264, 0.749300, 0.743316,
40, 0.580596, 0.878164, 0.752101, 0.695187,
40, 0.524426, 0.680522, 0.768908, 0.721925,
39, 0.539678, 0.687631, 0.801120, 0.743316,
40, 0.540536, 0.875907, 0.771739, 0.684492,
39, 0.499284, 0.645365, 0.802521, 0.759358,
39, 0.428199, 1.088665, 0.826331, 0.604278,
39, 0.508316, 1.024806, 0.795518, 0.631016,
35, 0.425376, 1.183725, 0.826331, 0.566845,
39, 0.433454, 1.694478, 0.829132, 0.561497,
38, 0.385570, 0.682180, 0.844538, 0.716578,
38, 0.345993, 0.993826, 0.855742, 0.705882,
38, 0.444090, 0.625457, 0.829132, 0.802139,
38, 0.376844, 0.753598, 0.838936, 0.716578,
39, 0.375157, 1.639561, 0.857143, 0.550802,
40, 0.316721, 0.713725, 0.879552, 0.721925,
48, 0.368908, 1.682180, 0.864146, 0.572193,
39, 0.315946, 0.590089, 0.871148, 0.754011,
38, 0.364118, 0.542825, 0.845938, 0.812834,
38, 0.370127, 0.911419, 0.855742, 0.673797,
39, 0.291452, 0.558526, 0.890756, 0.818182,
40, 0.294941, 0.869645, 0.894958, 0.689840,
40, 0.371416, 0.780541, 0.855742, 0.770053,
39, 0.351417, 1.615524, 0.866947, 0.572193,
42, 0.310362, 0.771668, 0.880952, 0.711230,
39, 0.336949, 0.611276, 0.885154, 0.737968,
37, 0.328076, 0.912671, 0.871148, 0.695187,
40, 0.270349, 0.519138, 0.885154, 0.812834,
39, 0.295271, 0.587987, 0.875000, 0.780749,
40, 0.237553, 0.962711, 0.915966, 0.647059,
39, 0.197145, 0.784412, 0.935574, 0.732620,
39, 0.251882, 1.050774, 0.908964, 0.684492,
41, 0.254534, 1.399562, 0.906162, 0.663102,
39, 0.261204, 0.584812, 0.900560, 0.796791,
39, 0.242140, 0.910405, 0.901961, 0.711230,
40, 0.276269, 0.893523, 0.893557, 0.732620,
38, 0.293574, 0.595944, 0.890756, 0.839572,
40, 0.249230, 1.292851, 0.899160, 0.652406,
42, 0.222097, 0.545084, 0.908964, 0.828877,
39, 0.206569, 0.724283, 0.915966, 0.727273,
39, 0.309106, 1.150130, 0.868347, 0.673797,
39, 0.265214, 0.762849, 0.899160, 0.764706,
38, 0.206707, 0.474185, 0.911765, 0.828877,
38, 0.197369, 0.810864, 0.934174, 0.748663,
40, 0.209948, 1.551013, 0.924370, 0.577540,
39, 0.260936, 0.835068, 0.899160, 0.759358,
40, 0.209749, 0.523373, 0.913165, 0.871658,
40, 0.199620, 0.655762, 0.931373, 0.807487,
38, 0.208604, 0.662256, 0.928571, 0.818182,
37, 0.187827, 0.905076, 0.928571, 0.759358,
37, 0.219125, 0.499362, 0.915966, 0.823529,
40, 0.185609, 0.445599, 0.925770, 0.866310,
39, 0.166638, 0.972345, 0.940217, 0.732620,
38, 0.171409, 0.522154, 0.938375, 0.791444,
38, 0.250775, 0.875470, 0.920168, 0.737968,
38, 0.167554, 1.016966, 0.941176, 0.737968,
39, 0.178996, 0.439953, 0.931373, 0.866310,
38, 0.190506, 0.563077, 0.924370, 0.796791,
38, 0.201952, 1.573863, 0.924370, 0.663102,
40, 0.192915, 1.013515, 0.932773, 0.732620,
37, 0.176759, 0.552741, 0.924370, 0.812834,
40, 0.157932, 0.775811, 0.948179, 0.796791,
45, 0.172406, 1.109686, 0.943978, 0.636364,
40, 0.140168, 1.063807, 0.950980, 0.748663,
39, 0.204036, 0.645423, 0.924370, 0.796791,
40, 0.203864, 0.897802, 0.929972, 0.732620,
38, 0.168729, 0.700618, 0.934174, 0.770053,
40, 0.132721, 0.708813, 0.952381, 0.802139,
39, 0.162014, 0.555600, 0.945378, 0.818182,
38, 0.129925, 0.581841, 0.948179, 0.823529,
37, 0.164570, 0.453690, 0.939776, 0.834225,
39, 0.162138, 0.628730, 0.935574, 0.807487,
40, 0.142492, 0.773450, 0.948179, 0.770053,
38, 0.154590, 0.752209, 0.935574, 0.796791,
45, 0.136917, 1.252248, 0.938375, 0.647059,
43, 0.221200, 0.452872, 0.921569, 0.877005,
42, 0.194553, 2.429097, 0.926630, 0.631016,
41, 0.163123, 1.119603, 0.936975, 0.705882,
34, 0.127166, 0.830422, 0.953782, 0.770053,
38, 0.115574, 1.217754, 0.960784, 0.743316,
