time, loss, val_loss, acc, val_acc
72, 2.198408, 4.727862, 0.394022, 0.320856,
73, 1.691515, 2.854480, 0.407563, 0.368984,
69, 1.458630, 1.784743, 0.427171, 0.433155,
68, 1.404879, 2.121170, 0.425770, 0.427807,
61, 1.327076, 1.779855, 0.441176, 0.422460,
58, 1.258389, 1.541611, 0.446779, 0.449198,
54, 1.345579, 1.409819, 0.480392, 0.443850,
54, 1.216039, 1.279355, 0.495798, 0.470588,
54, 1.192448, 1.275106, 0.500000, 0.454545,
54, 1.102564, 1.366976, 0.526611, 0.465241,
57, 1.107714, 1.767504, 0.554622, 0.433155,
56, 1.053758, 1.134356, 0.574230, 0.518717,
57, 1.131302, 1.107196, 0.504202, 0.572193,
59, 1.003471, 1.179853, 0.570028, 0.524064,
57, 1.032329, 1.617877, 0.570028, 0.502674,
59, 0.997744, 1.596313, 0.599440, 0.491979,
56, 0.900777, 1.142356, 0.600840, 0.561497,
55, 0.920496, 1.222791, 0.624650, 0.508021,
56, 0.888502, 1.268793, 0.637255, 0.545455,
55, 0.851574, 1.241132, 0.635854, 0.529412,
56, 0.763323, 1.217218, 0.680672, 0.556150,
55, 0.780821, 1.119712, 0.672269, 0.566845,
53, 0.787049, 1.095442, 0.670868, 0.598930,
54, 0.829336, 1.275020, 0.668067, 0.556150,
60, 0.745016, 1.477787, 0.667120, 0.534759,
55, 0.761532, 1.175695, 0.689076, 0.561497,
57, 0.666622, 1.042561, 0.731092, 0.636364,
56, 0.582347, 0.668993, 0.754902, 0.689840,
58, 0.622983, 0.943431, 0.738095, 0.631016,
55, 0.632262, 0.768800, 0.756303, 0.668449,
56, 0.606240, 1.633487, 0.739496, 0.497326,
54, 0.619900, 1.097182, 0.763305, 0.561497,
58, 0.604279, 0.690774, 0.742297, 0.700535,
55, 0.528517, 0.951578, 0.784314, 0.663102,
56, 0.546705, 1.512131, 0.782913, 0.566845,
56, 0.567162, 1.041258, 0.763305, 0.636364,
55, 0.518131, 1.131742, 0.789916, 0.598930,
54, 0.549702, 0.958710, 0.767507, 0.657754,
55, 0.585871, 1.946204, 0.754902, 0.449198,
56, 0.513808, 2.655723, 0.803922, 0.459893,
60, 0.552681, 2.472564, 0.778711, 0.401070,
57, 0.796950, 1.492889, 0.683473, 0.454545,
55, 0.693898, 1.825977, 0.715686, 0.550802,
57, 0.661339, 1.763030, 0.753501, 0.502674,
54, 0.557337, 2.385974, 0.767507, 0.465241,
57, 0.646025, 2.173097, 0.742297, 0.502674,
55, 0.594672, 0.740119, 0.754902, 0.689840,
56, 0.520032, 0.667898, 0.788515, 0.732620,
58, 0.478265, 0.815046, 0.824728, 0.657754,
57, 0.507792, 1.396166, 0.819328, 0.561497,
53, 0.443380, 2.236127, 0.812325, 0.443850,
56, 0.471348, 0.960561, 0.820728, 0.636364,
57, 0.438113, 2.341996, 0.830532, 0.470588,
57, 0.451679, 1.633723, 0.816527, 0.529412,
55, 0.489272, 0.946068, 0.803922, 0.652406,
55, 0.437533, 1.635326, 0.836134, 0.540107,
58, 0.459212, 0.811868, 0.808123, 0.727273,
55, 0.345260, 1.144830, 0.869748, 0.636364,
58, 0.397905, 1.755777, 0.847339, 0.508021,
57, 0.404747, 0.498530, 0.845938, 0.812834,
56, 0.391969, 0.469475, 0.848739, 0.828877,
54, 0.362947, 0.718823, 0.872549, 0.754011,
55, 0.394658, 0.623339, 0.855742, 0.759358,
58, 0.387857, 1.020250, 0.830532, 0.657754,
56, 0.366329, 1.274558, 0.848739, 0.572193,
56, 0.331936, 0.980026, 0.872549, 0.705882,
54, 0.348071, 0.825439, 0.879552, 0.732620,
57, 0.398312, 0.679635, 0.844538, 0.754011,
55, 0.317452, 0.659256, 0.880952, 0.770053,
58, 0.343835, 1.432311, 0.852941, 0.588235,
56, 0.371512, 0.996889, 0.855742, 0.689840,
57, 0.314759, 1.254595, 0.869748, 0.636364,
57, 0.304546, 0.560136, 0.887228, 0.754011,
55, 0.329854, 0.999908, 0.873950, 0.679144,
56, 0.327489, 0.509553, 0.878151, 0.796791,
55, 0.315948, 0.883579, 0.887955, 0.748663,
57, 0.271774, 0.624739, 0.901961, 0.780749,
55, 0.277649, 1.525707, 0.908964, 0.647059,
56, 0.313890, 0.915466, 0.889356, 0.705882,
58, 0.318486, 0.942613, 0.892157, 0.700535,
54, 0.322119, 0.889443, 0.878151, 0.716578,
55, 0.276650, 0.785140, 0.883754, 0.780749,
55, 0.380617, 0.805739, 0.858543, 0.770053,
56, 0.344033, 1.746636, 0.862745, 0.593583,
57, 0.376691, 0.989928, 0.869748, 0.695187,
54, 0.379695, 2.048389, 0.859944, 0.534759,
56, 0.347089, 1.253825, 0.871148, 0.668449,
56, 0.328688, 1.149462, 0.871148, 0.700535,
56, 0.290105, 0.816105, 0.893557, 0.737968,
56, 0.289943, 0.808284, 0.886555, 0.732620,
55, 0.274860, 1.499068, 0.899160, 0.663102,
55, 0.288467, 0.704740, 0.899160, 0.791444,
57, 0.239654, 0.635448, 0.914566, 0.802139,
57, 0.228890, 0.745460, 0.925770, 0.743316,
59, 0.297748, 1.542605, 0.886555, 0.577540,
56, 0.269998, 0.967690, 0.896359, 0.716578,
58, 0.274112, 0.927998, 0.889946, 0.689840,
56, 0.254349, 0.786458, 0.911765, 0.775401,
55, 0.229583, 0.867563, 0.900560, 0.754011,
55, 0.232985, 0.681094, 0.917367, 0.818182,
