time, loss, val_loss, acc, val_acc
69, 2.784789, 5.300506, 0.394022, 0.342246,
65, 1.267869, 3.867893, 0.485994, 0.395722,
65, 1.102594, 2.129611, 0.497199, 0.433155,
68, 1.043428, 1.642420, 0.554622, 0.486631,
64, 0.945790, 2.152428, 0.585434, 0.459893,
65, 0.924684, 1.553367, 0.595238, 0.529412,
68, 0.861593, 1.274034, 0.631653, 0.534759,
64, 0.872992, 1.477671, 0.651261, 0.481283,
70, 0.782039, 2.006571, 0.661064, 0.443850,
65, 0.793348, 1.663682, 0.680672, 0.449198,
63, 0.692045, 1.810444, 0.715686, 0.502674,
65, 0.715537, 1.648180, 0.691877, 0.540107,
66, 0.714946, 1.377214, 0.712885, 0.588235,
64, 0.709952, 1.232284, 0.703081, 0.566845,
59, 0.685082, 1.233170, 0.732493, 0.614973,
57, 0.665666, 1.633978, 0.735294, 0.545455,
55, 0.554238, 1.561881, 0.778711, 0.540107,
56, 0.577541, 1.019349, 0.775910, 0.636364,
58, 0.538178, 2.414217, 0.795518, 0.454545,
57, 0.563942, 1.251849, 0.773109, 0.588235,
56, 0.445729, 1.573669, 0.824930, 0.550802,
57, 0.544504, 2.369427, 0.795518, 0.454545,
56, 0.521691, 1.352322, 0.789916, 0.577540,
58, 0.403426, 1.033029, 0.833333, 0.663102,
55, 0.513627, 1.784226, 0.793478, 0.556150,
56, 0.382182, 1.283924, 0.831933, 0.657754,
58, 0.472836, 1.156660, 0.815126, 0.647059,
55, 0.367376, 1.484354, 0.854342, 0.636364,
56, 0.383362, 1.239051, 0.847339, 0.636364,
58, 0.395404, 1.263428, 0.852941, 0.598930,
56, 0.367868, 0.848006, 0.876751, 0.700535,
59, 0.359733, 1.673003, 0.873950, 0.524064,
56, 0.372996, 1.226588, 0.851541, 0.641711,
56, 0.292829, 1.827374, 0.890756, 0.577540,
57, 0.353492, 1.545904, 0.869748, 0.625668,
58, 0.346187, 2.443939, 0.882353, 0.556150,
55, 0.324329, 1.400573, 0.859944, 0.609626,
58, 0.253708, 1.197954, 0.906162, 0.684492,
58, 0.316534, 1.110383, 0.880952, 0.716578,
57, 0.275122, 1.536915, 0.901961, 0.582888,
57, 0.260161, 1.337348, 0.899160, 0.679144,
57, 0.324780, 2.218472, 0.887955, 0.641711,
54, 0.320577, 0.847170, 0.869748, 0.732620,
58, 0.295326, 0.737856, 0.892157, 0.748663,
57, 0.280054, 1.258680, 0.896359, 0.673797,
58, 0.202075, 1.227386, 0.929972, 0.689840,
59, 0.229448, 0.801288, 0.910364, 0.743316,
58, 0.174753, 0.862006, 0.936975, 0.737968,
58, 0.198222, 1.285578, 0.927989, 0.657754,
58, 0.172408, 0.935455, 0.928571, 0.721925,
59, 0.210813, 1.467033, 0.921569, 0.652406,
58, 0.194009, 1.174732, 0.934174, 0.689840,
57, 0.228885, 0.738441, 0.917367, 0.732620,
57, 0.227888, 0.649272, 0.910364, 0.775401,
55, 0.190211, 0.779535, 0.928571, 0.743316,
56, 0.233488, 1.965431, 0.921569, 0.588235,
58, 0.215528, 0.640271, 0.911765, 0.754011,
57, 0.187733, 1.361043, 0.929972, 0.668449,
56, 0.192692, 1.259367, 0.921569, 0.636364,
55, 0.274760, 1.536446, 0.897759, 0.663102,
58, 0.249917, 1.505280, 0.915966, 0.598930,
57, 0.273753, 1.127374, 0.890756, 0.705882,
54, 0.184792, 0.945680, 0.939776, 0.754011,
58, 0.195973, 1.114026, 0.927171, 0.695187,
59, 0.157368, 1.041529, 0.946779, 0.705882,
54, 0.134688, 1.102523, 0.952381, 0.684492,
57, 0.129576, 1.006901, 0.952381, 0.754011,
58, 0.155967, 1.407423, 0.938375, 0.673797,
64, 0.207237, 1.532744, 0.918768, 0.647059,
60, 0.213656, 1.070113, 0.920168, 0.732620,
63, 0.238671, 1.631689, 0.917367, 0.636364,
57, 0.181156, 1.012147, 0.939776, 0.759358,
59, 0.177630, 0.893738, 0.927989, 0.754011,
59, 0.113475, 0.818597, 0.962185, 0.743316,
57, 0.081761, 1.240594, 0.962185, 0.727273,
55, 0.119541, 0.726436, 0.950980, 0.807487,
55, 0.118521, 0.785465, 0.956583, 0.780749,
58, 0.114168, 0.857458, 0.962185, 0.754011,
55, 0.149857, 0.764410, 0.946779, 0.754011,
56, 0.187061, 0.856996, 0.934174, 0.748663,
56, 0.161658, 1.899059, 0.942577, 0.593583,
56, 0.129558, 2.067325, 0.952381, 0.593583,
56, 0.250721, 1.384471, 0.907563, 0.647059,
59, 0.216332, 1.085331, 0.932773, 0.732620,
57, 0.147202, 1.313406, 0.946779, 0.663102,
56, 0.169835, 1.024200, 0.939776, 0.700535,
55, 0.129218, 0.644537, 0.950980, 0.823529,
56, 0.138096, 0.742102, 0.946779, 0.780749,
56, 0.114037, 0.929574, 0.963585, 0.775401,
55, 0.090173, 2.708345, 0.974790, 0.524064,
59, 0.126610, 0.754272, 0.953782, 0.818182,
55, 0.164797, 0.947022, 0.936975, 0.759358,
58, 0.116687, 1.007239, 0.957983, 0.732620,
57, 0.106346, 1.412340, 0.953782, 0.679144,
56, 0.119505, 2.096962, 0.955182, 0.614973,
55, 0.107705, 1.556893, 0.952381, 0.647059,
57, 0.097077, 1.187185, 0.963315, 0.721925,
55, 0.157095, 4.917032, 0.946779, 0.459893,
56, 0.109256, 0.772306, 0.955182, 0.796791,
57, 0.109918, 0.657682, 0.964986, 0.818182,
